"Item","Value"
"Source URL","https://datamall.lta.gov.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Monthly%20New%20Registration%20of%20Cars%20by%20Make.zip"
"Raw rows","61359"
"Raw first month","2016-01"
"Raw last month","2026-07"
"Duplicate composite keys","0"
"Electric rows","9516"
"Electric rows with blank number","7465"
"Usable EV first month","2022-07"
"Usable EV last month","2026-07"
"Usable observations","49"
"Internal missing months","0"
"Test observations","12"
"Selected model","Holt-Winters"
