"date","electric_registrations"
2022-07-01,297
2022-08-01,275
2022-09-01,434
2022-10-01,386
2022-11-01,345
2022-12-01,409
2023-01-01,278
2023-02-01,241
2023-03-01,291
2023-04-01,303
2023-05-01,348
2023-06-01,431
2023-07-01,486
2023-08-01,588
2023-09-01,549
2023-10-01,431
2023-11-01,560
2023-12-01,962
2024-01-01,635
2024-02-01,758
2024-03-01,1192
2024-04-01,1197
2024-05-01,1037
2024-06-01,1200
2024-07-01,1197
2024-08-01,1411
2024-09-01,1314
2024-10-01,1184
2024-11-01,1309
2024-12-01,2014
2025-01-01,1037
2025-02-01,1668
2025-03-01,1678
2025-04-01,1564
2025-05-01,1890
2025-06-01,1985
2025-07-01,2065
2025-08-01,2055
2025-09-01,2336
2025-10-01,2081
2025-11-01,2232
2025-12-01,3093
2026-01-01,2355
2026-02-01,2237
2026-03-01,3087
2026-04-01,2982
2026-05-01,2930
2026-06-01,3357
2026-07-01,3200
