"Item","Value"
"Guerrero_Box_Cox_lambda","-0.621780655685462"
"Annual_mean_SD_correlation","0.26132159746827"
"Selected_transformation","None (response scale retained)"
"Transformation_decision_basis","Training plot and year-level mean-versus-SD check did not show a clear increase in seasonal amplitude with level; retain interpretable units"
"KPSS_ndiffs_supporting_check","0"
"Seasonal_strength_nsdiffs_supporting_check","1"
"Manually_selected_d","0"
"d_decision_basis","No sustained ordinary trend remained after seasonal differencing; avoid over-differencing"
"Manually_selected_D","1"
"D_decision_basis","Strong annual pattern and seasonal-strength check support one lag-12 difference"
"Seasonal_period","12"
