"Item","Value"
"Source URL","https://power.larc.nasa.gov/api/temporal/monthly/point?parameters=ALLSKY_SFC_SW_DWN&community=RE&longitude=101.6869&latitude=3.139&format=JSON&start=2001&end=2025"
"Latitude","3.139"
"Longitude","101.6869"
"Parameter","ALLSKY_SFC_SW_DWN"
"Unit","kWh/m2/day"
"Observations","300"
"First month","2001-01"
"Last month","2025-12"
"Fill-value gaps","0"
"Duplicate months","0"
"Training observations","240"
"Training period","2001-01 to 2020-12"
"Test observations","60"
"Test period","2021-01 to 2025-12"
"Selected model","SARIMA"
