Model,Parameter,Estimate,Standard_error,P_value
SARIMA,ar1,0.208732188536579,0.0653370494184567,0.0013997687871033
SARIMA,sma1,-0.955402475018046,0.118977963495868,9.74097280779621e-16
ETS,alpha,0.0203627583687118,,
ETS,gamma,0.0001004895606281,,
ETS,l,4.81212628992487,,
ETS,s0,-0.579992199729128,,
ETS,s1,-0.408783518840077,,
ETS,s10,0.389795613749964,,
ETS,s2,-0.22998155028004,,
ETS,s3,-0.109821547267024,,
ETS,s4,0.0342280719306815,,
ETS,s5,-0.0082103342708417,,
ETS,s6,0.0673656822167701,,
ETS,s7,0.186682627316215,,
ETS,s8,0.361196619978051,,
ETS,s9,0.482714328237428,,
Basic structural model,sigma2.irregular,0.07798139058226895,0.005950967348619237,3.124111923737688e-39
Basic structural model,sigma2.level,4.954941586057288e-05,8.203148824995582e-05,0.5458242155534836
Basic structural model,sigma2.seasonal,2.9797869033035627e-12,0.00035191208869581937,0.9999999932439776
Holt-Winters,alpha.alpha,0.0273014751142614,,
Holt-Winters,gamma.gamma,0.136559179994183,,
