"date","solar_irradiance"
2001-01-01,4.159
2001-02-01,4.7525
2001-03-01,5.173
2001-04-01,5.022
2001-05-01,5.219
2001-06-01,5.0148
2001-07-01,5.135
2001-08-01,4.8091
2001-09-01,5.0311
2001-10-01,4.6589
2001-11-01,4.3596
2001-12-01,4.2475
2002-01-01,4.927
2002-02-01,5.3126
2002-03-01,5.6518
2002-04-01,5.4442
2002-05-01,5.2394
2002-06-01,5.0023
2002-07-01,4.8422
2002-08-01,4.7081
2002-09-01,4.4285
2002-10-01,4.3757
2002-11-01,4.5348
2002-12-01,4.5072
2003-01-01,4.2348
2003-02-01,4.8703
2003-03-01,5.2591
2003-04-01,5.082
2003-05-01,5.1845
2003-06-01,4.6896
2003-07-01,4.757
2003-08-01,4.8329
2003-09-01,4.5756
2003-10-01,4.5564
2003-11-01,4.4738
2003-12-01,4.0426
2004-01-01,4.8694
2004-02-01,4.9159
2004-03-01,4.9154
2004-04-01,5.382
2004-05-01,5.2632
2004-06-01,4.902
2004-07-01,4.6291
2004-08-01,5.0153
2004-09-01,4.8706
2004-10-01,4.7258
2004-11-01,4.7002
2004-12-01,4.1345
2005-01-01,4.981
2005-02-01,5.2915
2005-03-01,5.3357
2005-04-01,5.3522
2005-05-01,4.7098
2005-06-01,4.998
2005-07-01,4.9178
2005-08-01,4.7796
2005-09-01,5.1211
2005-10-01,4.3654
2005-11-01,4.2451
2005-12-01,4.0956
2006-01-01,4.5768
2006-02-01,5.0746
2006-03-01,5.3618
2006-04-01,4.9315
2006-05-01,4.5922
2006-06-01,4.789
2006-07-01,4.5886
2006-08-01,4.6805
2006-09-01,4.3481
2006-10-01,4.0267
2006-11-01,4.5394
2006-12-01,4.2898
2007-01-01,4.1897
2007-02-01,4.9627
2007-03-01,5.0964
2007-04-01,5.0995
2007-05-01,5.2284
2007-06-01,4.5754
2007-07-01,4.3858
2007-08-01,4.9478
2007-09-01,4.7438
2007-10-01,4.5204
2007-11-01,4.3354
2007-12-01,4.1124
2008-01-01,4.7923
2008-02-01,5.0585
2008-03-01,4.9126
2008-04-01,4.806
2008-05-01,4.7066
2008-06-01,4.5454
2008-07-01,4.6219
2008-08-01,4.8221
2008-09-01,4.7971
2008-10-01,4.7494
2008-11-01,4.3111
2008-12-01,4.165
2009-01-01,4.6037
2009-02-01,5.0074
2009-03-01,4.9454
2009-04-01,5.3707
2009-05-01,5.1254
2009-06-01,4.9982
2009-07-01,4.7616
2009-08-01,4.7059
2009-09-01,4.6387
2009-10-01,4.7448
2009-11-01,3.9408
2009-12-01,4.2792
2010-01-01,4.6097
2010-02-01,5.5063
2010-03-01,5.3088
2010-04-01,5.2776
2010-05-01,5.1055
2010-06-01,4.7508
2010-07-01,4.7134
2010-08-01,5.1185
2010-09-01,5.035
2010-10-01,4.8418
