"Model","Ratio","RMSE","Best_ratio","Best_RMSE","RMSE_x_best","RMSE_pct_above_best"
"Trend + season","96:4",0.240100880269057,"96:4",0.240100880269057,1,0
"Trend + season","92:8",0.240215097292299,"96:4",0.240100880269057,1.0004757043086,0.0475704308595004
"Trend + season","70:30",0.280261271682177,"96:4",0.240100880269057,1.16726465712294,16.7264657122942
"Trend + season","88:12",0.285933995133075,"96:4",0.240100880269057,1.19089107383803,19.0891073838034
"Trend + season","84:16",0.294016652087096,"96:4",0.240100880269057,1.22455466118084,22.4554661180839
"Trend + season","80:20",0.298765079151556,"96:4",0.240100880269057,1.24433146107903,24.4331461079028
"Holt-Winters","92:8",0.210872585633616,"92:8",0.210872585633616,1,0
"Holt-Winters","96:4",0.219752273208969,"92:8",0.210872585633616,1.04210925544765,4.21092554476545
"Holt-Winters","88:12",0.281982079716158,"92:8",0.210872585633616,1.33721545106907,33.7215451069073
"Holt-Winters","70:30",0.283659664593511,"92:8",0.210872585633616,1.34517089426864,34.5170894268636
"Holt-Winters","80:20",0.310139133978631,"92:8",0.210872585633616,1.47074183705172,47.0741837051723
"Holt-Winters","84:16",0.316844350086963,"92:8",0.210872585633616,1.50253931365678,50.2539313656776
"ETS","92:8",0.230348677182475,"92:8",0.230348677182475,1,0
"ETS","96:4",0.243584373626097,"92:8",0.230348677182475,1.05745939853232,5.74593985323248
"ETS","88:12",0.267821211363968,"92:8",0.230348677182475,1.1626774446454,16.2677444645399
"ETS","70:30",0.278351514193872,"92:8",0.230348677182475,1.20839206718505,20.8392067185047
"ETS","84:16",0.294140150281272,"92:8",0.230348677182475,1.27693440170383,27.6934401703827
"ETS","80:20",0.294729364000863,"92:8",0.230348677182475,1.27949232270775,27.9492322707752
"SARIMA","92:8",0.201298200075473,"92:8",0.201298200075473,1,0
"SARIMA","96:4",0.238491878365927,"92:8",0.201298200075473,1.18476905544366,18.4769055443664
"SARIMA","88:12",0.279194593454527,"92:8",0.201298200075473,1.38697014354748,38.6970143547478
"SARIMA","80:20",0.292814311168437,"92:8",0.201298200075473,1.45462955485271,45.4629554852712
"SARIMA","84:16",0.299322440104179,"92:8",0.201298200075473,1.4869603403903,48.6960340390297
"SARIMA","70:30",0.319173177848425,"92:8",0.201298200075473,1.58557392827535,58.5573928275351
