"Model","Ratio","Train_months","Test_months","Test_start","Test_end","ME","MSE","RMSE","MAE","MPE","MAPE","Best_ratio","Best_RMSE","RMSE_x_best","RMSE_pct_above_best"
"Trend + season","96:4",288,12,"2025-01","2025-12",-0.0869308574879205,0.0576484327059761,0.240100880269057,0.204491304347825,-1.96271599694688,4.36659579261885,"96:4",0.240100880269057,1,0
"Trend + season","92:8",276,24,"2024-01","2025-12",-0.0973112648221348,0.0577032929671484,0.240215097292299,0.200934068950373,-2.24682047302815,4.31385257731172,"96:4",0.240100880269057,1.0004757043086,0.0475704308597447
"Trend + season","70:30",210,90,"2018-07","2025-12",0.00372462911090156,0.0785463804049112,0.280261271682177,0.222054192136114,-0.183780948965564,4.61519456410251,"96:4",0.240100880269057,1.16726465712294,16.7264657122941
"Trend + season","88:12",264,36,"2023-01","2025-12",-0.132433112177676,0.0817582495727612,0.285933995133075,0.23485486228747,-3.03517591147176,5.05011828544423,"96:4",0.240100880269057,1.19089107383804,19.0891073838036
"Trend + season","84:16",252,48,"2022-01","2025-12",-0.158070301226551,0.0864457917045046,0.294016652087096,0.243474384920634,-3.56178743143039,5.23441538472114,"96:4",0.240100880269057,1.22455466118084,22.4554661180838
"Trend + season","80:20",240,60,"2021-01","2025-12",-0.0988651002506251,0.0892605725204358,0.298765079151556,0.241356632832079,-2.35840241456605,5.10928790637214,"96:4",0.240100880269057,1.24433146107903,24.4331461079026
"Holt-Winters","92:8",276,24,"2024-01","2025-12",-0.0497970043986934,0.0444672473718067,0.210872585633616,0.168469763060019,-1.22376903872489,3.60261130492414,"92:8",0.210872585633616,1,0
"Holt-Winters","96:4",288,12,"2025-01","2025-12",-0.0335846881454624,0.0482910615805095,0.219752273208969,0.180280022083792,-0.817030079992956,3.84023662224056,"92:8",0.210872585633616,1.04210925544765,4.2109255447653
"Holt-Winters","88:12",264,36,"2023-01","2025-12",-0.107057723259966,0.0795138932810495,0.281982079716158,0.222723116599216,-2.49408239734254,4.78179652832512,"92:8",0.210872585633616,1.33721545106908,33.7215451069075
"Holt-Winters","70:30",210,90,"2018-07","2025-12",0.00227267244589305,0.080462805317303,0.283659664593511,0.22122988718652,-0.186301440503676,4.60355878296508,"92:8",0.210872585633616,1.34517089426864,34.5170894268637
"Holt-Winters","80:20",240,60,"2021-01","2025-12",-0.103688771049361,0.0961862824250154,0.310139133978631,0.2463985603658,-2.45534210861403,5.22126344689479,"92:8",0.210872585633616,1.47074183705172,47.0741837051722
"Holt-Winters","84:16",252,48,"2022-01","2025-12",-0.17457561661624,0.10039034218203,0.316844350086963,0.256125959603423,-3.91178011301646,5.50874991411085,"92:8",0.210872585633616,1.50253931365678,50.2539313656776
"ETS","92:8",276,24,"2024-01","2025-12",-0.0713236540675312,0.0530605130797161,0.230348677182475,0.193202378145992,-1.70040838027495,4.13877394381355,"92:8",0.230348677182475,1,0
"ETS","96:4",288,12,"2025-01","2025-12",-0.0715431544473961,0.0593333470748178,0.243584373626097,0.205415395899635,-1.63513754118523,4.36753304329825,"92:8",0.230348677182475,1.05745939853233,5.74593985323262
"ETS","88:12",264,36,"2023-01","2025-12",-0.0870672880126513,0.0717282012564631,0.267821211363968,0.216481662965348,-2.06613771378053,4.63362948523776,"92:8",0.230348677182475,1.1626774446454,16.2677444645399
"ETS","70:30",210,90,"2018-07","2025-12",0.0214770665084518,0.0774795654540213,0.278351514193872,0.218035428154687,0.185175201634723,4.51836584180411,"92:8",0.230348677182475,1.20839206718505,20.8392067185047
"ETS","84:16",252,48,"2022-01","2025-12",-0.155188226384735,0.0865184280074891,0.294140150281272,0.24308265092035,-3.50147701261394,5.22256218837281,"92:8",0.230348677182475,1.27693440170383,27.6934401703828
"ETS","80:20",240,60,"2021-01","2025-12",-0.0846585377634354,0.0868653980043533,0.294729364000863,0.235101495689649,-2.05456638354695,4.96733374751844,"92:8",0.230348677182475,1.27949232270775,27.9492322707752
"SARIMA","92:8",276,24,"2024-01","2025-12",-0.0432916093698889,0.040520965353625,0.201298200075473,0.161663620260846,-1.09144856352579,3.51340575698911,"92:8",0.201298200075473,1,0
"SARIMA","96:4",288,12,"2025-01","2025-12",0.0109108603819332,0.0568783760465083,0.238491878365927,0.182757185327642,0.104225422795111,3.94899401490239,"92:8",0.201298200075473,1.18476905544366,18.476905544366
"SARIMA","88:12",264,36,"2023-01","2025-12",-0.0988123394024372,0.0779496210142387,0.279194593454527,0.220357154424355,-2.33010903145991,4.76696071594235,"92:8",0.201298200075473,1.38697014354747,38.6970143547474
"SARIMA","80:20",240,60,"2021-01","2025-12",-0.056610458683257,0.0857402208250461,0.292814311168437,0.224528329756963,-1.46433564266961,4.73463375938449,"92:8",0.201298200075473,1.45462955485271,45.462955485271
"SARIMA","84:16",252,48,"2022-01","2025-12",-0.12882811047339,0.0895939231499197,0.299322440104179,0.231863592952138,-2.94818043642114,4.97516326402732,"92:8",0.201298200075473,1.48696034039029,48.6960340390295
"SARIMA","70:30",210,90,"2018-07","2025-12",-0.00333825918835946,0.101871517457862,0.319173177848425,0.256535920507183,-0.294153609961661,5.37317257974076,"92:8",0.201298200075473,1.58557392827535,58.557392827535
