"Model","Ratio","Train_months","Test_months","Test_start","Test_end","MAE","RMSE","MAPE","MASE","sMAPE","Best_ratio","Best_RMSE","RMSE_x_best","RMSE_pct_above_best"
"Seasonal naive","96:4",288,12,"2025-01","2025-12",0.218125,0.269980642824629,4.60337873503323,0.732731917669668,4.6048441898277,"96:4",0.269980642824629,1,0
"Seasonal naive","92:8",276,24,"2024-01","2025-12",0.2324375,0.286994737901818,4.85807540932637,0.774496341041673,4.89572248530441,"96:4",0.269980642824629,1.06301968503809,6.30196850380893
"Seasonal naive","88:12",264,36,"2023-01","2025-12",0.243208333333333,0.342679103616715,5.20912353877866,0.802339920824431,5.12610458640614,"96:4",0.269980642824629,1.26927286353381,26.9272863533808
"Seasonal naive","80:20",240,60,"2021-01","2025-12",0.28394,0.366941136060449,6.05541645607193,0.956474692063004,5.86635059754988,"96:4",0.269980642824629,1.35913868572719,35.9138685727193
"Seasonal naive","70:30",210,90,"2018-07","2025-12",0.305978888888889,0.400785126276468,6.42869471187954,1.03277498585095,6.45562735014462,"96:4",0.269980642824629,1.48449578489524,48.4495784895236
"Seasonal naive","84:16",252,48,"2022-01","2025-12",0.30546875,0.441529137156693,6.55440006391504,1.02417793349706,6.25600754982109,"96:4",0.269980642824629,1.63541034845041,63.5410348450413
"Trend + season","96:4",288,12,"2025-01","2025-12",0.204491304347825,0.240100880269057,4.36659579261885,0.686933206104545,4.28288419053418,"96:4",0.240100880269057,1,0
"Trend + season","92:8",276,24,"2024-01","2025-12",0.200934068950373,0.240215097292299,4.31385257731172,0.669524931186575,4.24317352297456,"96:4",0.240100880269057,1.0004757043086,0.0475704308597447
"Trend + season","70:30",210,90,"2018-07","2025-12",0.222054192136114,0.280261271682177,4.61519456410251,0.749502738487289,4.62558427441952,"96:4",0.240100880269057,1.16726465712294,16.7264657122941
"Trend + season","88:12",264,36,"2023-01","2025-12",0.23485486228747,0.285933995133075,5.05011828544423,0.774781969969346,4.93579957702443,"96:4",0.240100880269057,1.19089107383804,19.0891073838036
"Trend + season","84:16",252,48,"2022-01","2025-12",0.243474384920634,0.294016652087096,5.23441538472114,0.816322757753399,5.10001837074512,"96:4",0.240100880269057,1.22455466118084,22.4554661180838
"Trend + season","80:20",240,60,"2021-01","2025-12",0.241356632832079,0.298765079151556,5.10928790637214,0.813029200061375,5.02699748984106,"96:4",0.240100880269057,1.24433146107903,24.4331461079026
"Holt-Winters","92:8",276,24,"2024-01","2025-12",0.168469763060019,0.210872585633616,3.60261130492414,0.561351826044171,3.56572060705487,"92:8",0.210872585633616,1,0
"Holt-Winters","96:4",288,12,"2025-01","2025-12",0.180280022083792,0.219752273208969,3.84023662224056,0.605601954379309,3.79569713229252,"92:8",0.210872585633616,1.04210925544765,4.2109255447653
"Holt-Winters","88:12",264,36,"2023-01","2025-12",0.222723116599216,0.281982079716158,4.78179652832512,0.734759558970643,4.68061984214888,"92:8",0.210872585633616,1.33721545106908,33.7215451069075
"Holt-Winters","70:30",210,90,"2018-07","2025-12",0.22122988718652,0.283659664593511,4.60355878296508,0.746720450023711,4.60814864433375,"92:8",0.210872585633616,1.34517089426864,34.5170894268637
"Holt-Winters","80:20",240,60,"2021-01","2025-12",0.2463985603658,0.310139133978631,5.22126344689479,0.830013337855343,5.11493527999808,"92:8",0.210872585633616,1.47074183705172,47.0741837051722
"Holt-Winters","84:16",252,48,"2022-01","2025-12",0.256125959603423,0.316844350086963,5.50874991411085,0.858741052960691,5.33644121214221,"92:8",0.210872585633616,1.50253931365678,50.2539313656776
"ETS","92:8",276,24,"2024-01","2025-12",0.193202378145992,0.230348677182475,4.13877394381355,0.643762452076883,4.0904184284487,"92:8",0.230348677182475,1,0
"ETS","96:4",288,12,"2025-01","2025-12",0.205415395899635,0.243584373626097,4.36753304329825,0.690037441633987,4.29688155051656,"92:8",0.230348677182475,1.05745939853233,5.74593985323262
"ETS","88:12",264,36,"2023-01","2025-12",0.216481662965348,0.267821211363968,4.63362948523776,0.714169115601406,4.56168002569851,"92:8",0.230348677182475,1.1626774446454,16.2677444645399
"ETS","70:30",210,90,"2018-07","2025-12",0.218035428154687,0.278351514193872,4.51836584180411,0.735938146076588,4.54446339624721,"92:8",0.230348677182475,1.20839206718505,20.8392067185047
"ETS","84:16",252,48,"2022-01","2025-12",0.24308265092035,0.294140150281272,5.22256218837281,0.815009349036822,5.09129490374531,"92:8",0.230348677182475,1.27693440170383,27.6934401703828
"ETS","80:20",240,60,"2021-01","2025-12",0.235101495689649,0.294729364000863,4.96733374751844,0.791958268272553,4.89963855376711,"92:8",0.230348677182475,1.27949232270775,27.9492322707752
"SARIMA","92:8",276,24,"2024-01","2025-12",0.161663620260846,0.201298200075473,3.51340575698911,0.538673330988227,3.4676162271129,"92:8",0.201298200075473,1,0
"SARIMA","96:4",288,12,"2025-01","2025-12",0.182757185327642,0.238491878365927,3.94899401490239,0.613923314031101,3.93566162661902,"92:8",0.201298200075473,1.18476905544366,18.476905544366
"SARIMA","88:12",264,36,"2023-01","2025-12",0.220357154424355,0.279194593454527,4.76696071594235,0.726954292275898,4.65031748095234,"92:8",0.201298200075473,1.38697014354747,38.6970143547474
"SARIMA","80:20",240,60,"2021-01","2025-12",0.224528329756963,0.292814311168437,4.73463375938449,0.756341709740479,4.68718765962441,"92:8",0.201298200075473,1.45462955485271,45.462955485271
"SARIMA","84:16",252,48,"2022-01","2025-12",0.231863592952138,0.299322440104179,4.97516326402732,0.77739400669602,4.8495552422817,"92:8",0.201298200075473,1.48696034039029,48.6960340390295
"SARIMA","70:30",210,90,"2018-07","2025-12",0.256535920507183,0.319173177848425,5.37317257974076,0.86588941686195,5.35864925870506,"92:8",0.201298200075473,1.58557392827535,58.557392827535
