-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  3.139   Longitude 101.6869 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 231.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2001,4.159,4.7525,5.173,5.022,5.219,5.0148,5.135,4.8091,5.0311,4.6589,4.3596,4.2475,4.7981
ALLSKY_SFC_SW_DWN,2002,4.927,5.3126,5.6518,5.4442,5.2394,5.0023,4.8422,4.7081,4.4285,4.3757,4.5348,4.5072,4.9118
ALLSKY_SFC_SW_DWN,2003,4.2348,4.8703,5.2591,5.082,5.1845,4.6896,4.757,4.8329,4.5756,4.5564,4.4738,4.0426,4.7119
ALLSKY_SFC_SW_DWN,2004,4.8694,4.9159,4.9154,5.382,5.2632,4.902,4.6291,5.0153,4.8706,4.7258,4.7002,4.1345,4.8588
ALLSKY_SFC_SW_DWN,2005,4.981,5.2915,5.3357,5.3522,4.7098,4.998,4.9178,4.7796,5.1211,4.3654,4.2451,4.0956,4.8449
ALLSKY_SFC_SW_DWN,2006,4.5768,5.0746,5.3618,4.9315,4.5922,4.789,4.5886,4.6805,4.3481,4.0267,4.5394,4.2898,4.6464
ALLSKY_SFC_SW_DWN,2007,4.1897,4.9627,5.0964,5.0995,5.2284,4.5754,4.3858,4.9478,4.7438,4.5204,4.3354,4.1124,4.6807
ALLSKY_SFC_SW_DWN,2008,4.7923,5.0585,4.9126,4.806,4.7066,4.5454,4.6219,4.8221,4.7971,4.7494,4.3111,4.165,4.6894
ALLSKY_SFC_SW_DWN,2009,4.6037,5.0074,4.9454,5.3707,5.1254,4.9982,4.7616,4.7059,4.6387,4.7448,3.9408,4.2792,4.7585
ALLSKY_SFC_SW_DWN,2010,4.6097,5.5063,5.3088,5.2776,5.1055,4.7508,4.7134,5.1185,5.035,4.8418,4.5218,3.8822,4.8842
ALLSKY_SFC_SW_DWN,2011,3.7937,5.1744,4.6294,4.9915,5.2661,4.7066,4.6205,4.6987,4.5391,4.7165,4.4539,3.9175,4.6207
ALLSKY_SFC_SW_DWN,2012,4.8317,5.2656,4.6505,5.2949,4.9622,5.1703,4.871,4.7321,4.6644,4.7194,4.5134,4.1014,4.8113
ALLSKY_SFC_SW_DWN,2013,4.6548,4.2802,5.5558,5.0278,5.3633,5.2615,4.8487,4.7054,4.7666,4.8137,4.4676,3.8714,4.8048
ALLSKY_SFC_SW_DWN,2014,4.4486,5.7864,5.5058,4.8425,4.926,5.2776,4.9289,4.7398,4.6058,4.5475,4.3764,3.791,4.8072
ALLSKY_SFC_SW_DWN,2015,4.9351,5.4238,5.4437,5.3839,4.8098,4.7942,4.831,4.7434,3.8297,3.4478,4.4798,4.6378,4.7256
ALLSKY_SFC_SW_DWN,2016,5.4823,5.2603,5.8152,5.4046,4.9387,5.1768,5.1077,5.0016,5.2536,4.7098,4.1894,4.3385,5.0561
ALLSKY_SFC_SW_DWN,2017,4.4486,5.0357,5.1067,4.8847,4.6327,4.9272,4.8994,4.6838,4.6325,5.0813,4.0236,4.4801,4.7352
ALLSKY_SFC_SW_DWN,2018,3.9235,5.6441,5.5682,5.2416,4.6512,4.7926,4.6423,5.4146,4.9037,4.5506,4.5842,4.6207,4.8718
ALLSKY_SFC_SW_DWN,2019,4.9848,5.4797,5.755,5.1626,5.1254,4.5487,4.8362,4.6118,4.3243,4.7278,4.5151,4.5866,4.8862
ALLSKY_SFC_SW_DWN,2020,5.0623,5.377,5.4706,5.1648,4.7938,4.6001,4.8158,5.0645,4.8451,4.7189,4.2905,4.1978,4.8655
ALLSKY_SFC_SW_DWN,2021,4.1297,5.9244,5.2025,5.0162,4.8053,4.9649,5.0258,4.8091,5.0894,5.1866,4.5192,4.4162,4.9162
ALLSKY_SFC_SW_DWN,2022,5.0942,4.625,5.2656,4.921,4.9519,4.8077,4.6992,4.7482,4.6507,4.5581,4.3303,3.9804,4.7206
ALLSKY_SFC_SW_DWN,2023,4.1832,4.5353,5.0124,4.9699,5.2848,4.8943,4.5334,4.7105,4.5545,5.1446,4.4688,4.0764,4.6985
ALLSKY_SFC_SW_DWN,2024,4.4122,5.2099,5.3222,4.998,4.7746,4.6193,4.8442,4.5578,4.6762,5.1408,4.278,3.9514,4.7304
ALLSKY_SFC_SW_DWN,2025,4.1508,4.8737,4.8761,4.9598,4.8257,4.8384,4.9956,5.0486,4.6886,4.8871,4.2578,4.2883,4.7234
